"index","word","definition","sentence","part_of_speech","language_of_origin"
"36","Mountain","A large natural elevation of the earth's surface rising abruptly from the surrounding level; a large steep hill","We climbed to the top of the mountain.","Noun","Latin"
"37","Chair","A separate seat for one person, typically with a back and four legs","Please have a seat on that chair.","Noun","Old French"
"38","Bread","Food made of flour, water, and yeast or another leavening agent, mixed together and baked","She bakes fresh bread every morning.","Noun","Old English"
"39","Window","An opening in a wall or screen through which customers are served in a bank, ticket office, or similar building","Open the window to let in fresh air.","Noun","Old Norse"
"40","Car","A road vehicle, typically with four wheels, powered by an internal combustion engine or electric motor and able to carry a small number of people","We drove the car to the beach.","Noun","Latin"
"41","Road","A wide way leading from one place to another, especially one with a specially prepared surface that vehicles can use","The road is under construction.","Noun","Old English"
"42","Clock","A mechanical or electrical device for measuring time, indicating hours, minutes, and sometimes seconds by hands on a round dial or by displayed figures","The clock strikes midnight.","Noun","Middle Dutch"
"43","Ball","A round object that can be thrown, kicked, or hit in a game","The kids played catch with a ball.","Noun","Middle English"
"44","Game","A form of competitive activity or sport played according to rules","We played a board game last night.","Noun","Old Norse"
"45","Boat","A small vessel propelled on water by oars, sails, or an engine","They sailed around the world in a boat.","Noun","Old English"
"46","Hat","A shaped covering for the head worn for warmth, as a fashion item, or as part of a uniform","He wears a hat to shield from the sun.","Noun","Old English"
"47","Bag","A flexible container with an opening at the top, used for carrying things","She carries a bag with her books.","Noun","Old Norse"
"48","Hair","Any of the fine threadlike strands growing from the skin of humans, mammals, and some other animals","She brushed her long hair.","Noun","Old English"
"49","Cake","A sweet food made with a mixture of flour, eggs, fat, and sugar, baked and sometimes iced or decorated","It's a chocolate cake for dessert.","Noun","Old Norse"
"50","Mouth","The opening in the lower part of the human face, surrounded by the lips, through which food is taken in and vocal sounds are emitted","She opened her mouth to speak.","Noun","Old English"
"51","Eye","Each of a pair of globular organs in the head through which people and vertebrate animals see","His eyes are blue.","Noun","Old English"
"52","Ear","The organ of hearing and balance in humans and other vertebrates, especially the external part of this","She has an earring in her left ear.","Noun","Old English"
"53","Hand","The end part of a person's arm beyond the wrist, including the palm, fingers, and thumb","He held the baby's hand.","Noun","Old English"
"54","Foot","The lower extremity of the leg below the ankle, on which a person stands or walks","My foot hurts after the long walk.","Noun","Old English"
"55","School","An institution for educating children","Kids go to school to learn.","Noun","Old English"
"56","Friend","A person whom one knows and has a bond of mutual affection with, typically exclusive of sexual or family relations","She is my best friend.","Noun","Old English"
"57","House","A building for human habitation, especially one that consists of a ground floor and one or more upper storeys","We bought a new house.","Noun","Old English"
"58","Green","Of the color between blue and yellow in the spectrum; colored like grass","The grass is always green in spring.","Adjective","Old English"
"59","Yellow","Of the color between green and orange in the spectrum, a primary subtractive color complementary to blue; colored like ripe lemons or egg yolks","She wore a bright yellow dress.","Adjective","Old English"
"60","Write","Mark (letters, words, or other symbols) on a surface, typically paper, with a pen, pencil, or similar implement","I write in my journal every night.","Verb","Old English"
"61","Read","Look at and comprehend the meaning of (written or printed matter) by interpreting the characters or symbols of which it is composed","I read a book every week.","Verb","Old English"
"62","Walk","Move at a regular and fairly slow pace by lifting and setting down each foot in turn, never having both feet off the ground at once","We walk in the park every evening.","Verb","Old English"
"63","Swim","Propel the body through water by using the limbs, or (in the case of fish or tail-propelled sea mammals) by a sinuous movement of the body","I love to swim in the ocean.","Verb","Old Norse"
"64","Dance","Move rhythmically to music, typically following a set sequence of steps","They dance beautifully.","Verb","Old French"
"65","Laugh","Make the spontaneous sounds and movements of the face and body that are the instinctive expressions of lively amusement and sometimes also of derision","He made everyone laugh.","Verb","Old English"
"66","Cry","Shed tears in distress, pain, or sorrow","The baby will cry if she's hungry.","Verb","Old Norse"
"67","Apple","The round fruit of a tree of the rose family, which typically has thin green or red skin and crisp flesh","I eat an apple every day.","Noun","Old English"
"68","Orange","A round juicy citrus fruit with a tough bright reddish-yellow rind","He peeled the orange.","Noun","Old French"
"69","Grape","A berry, typically green (classified as white), purple, red, or black, growing in clusters on a grapevine, eaten as fruit, and used in making wine","She loves eating grapes.","Noun","Old French"
"70","Banana","A long curved fruit which grows in clusters and has soft pulpy flesh and yellow skin when ripe","The banana is ripe and ready to eat.","Noun","Spanish or Portuguese"
"71","Bear","A large heavy mammal with thick fur and sharp claws which can stand on two legs like a person","The bear is a powerful animal.","Noun","Old English"
"72","Lion","A large tawny-colored cat that lives in prides, found in Africa and northwestern India","The lion is called the king of the jungle.","Noun","Old French"
"73","Elephant","A large mammal with a trunk, long tusks, and large ears, native to Africa and southern Asia. It is the largest living land animal","The elephant has a long trunk.","Noun","Latin"
"74","Monkey","A small to medium-sized primate that typically has a long tail, most kinds of which live in trees in tropical countries","The monkey climbed the tree.","Noun","Middle Low German"
"75","Zebra","An African wild horse with black-and-white stripes and an erect mane","The zebra has black and white stripes.","Noun","Portuguese"
"76","Kangaroo","A large plant-eating marsupial with a long powerful tail and strongly developed hind limbs that enable it to leap great distances, native to Australia","The kangaroo jumps very high.","Noun","Guugu Yimidhirr (Aboriginal Australian language)"
"77","Giraffe","A large African mammal with a very long neck and forelegs, having a coat patterned with brown patches separated by lighter lines. It is the tallest living animal","The giraffe has a long neck.","Noun","French"
"78","Tiger","A very large solitary cat with a yellow-brown coat striped with black, native to the forests of Asia but becoming increasingly rare","The tiger prowls in the jungle.","Noun","Old English"
"79","Leaf","A flattened structure of a higher plant, typically green and blade-like, that is attached to a stem directly or via a stalk. Leaves are the main organs of photosynthesis and transpiration","The leaf fell from the tree.","Noun","Old English"
"80","Frog","A tailless amphibian with a short squat body, moist smooth skin, and very long hind legs for leaping","The frog jumped into the pond.","Noun","Old English"
"81","Duck","A waterbird with a broad flat bill, short legs, webbed feet, and a waddling gait","The duck swam in the lake.","Noun","Old English"
"82","Shirt","A garment for the upper part of the body, typically made of cotton or a similar fabric","He wore a blue shirt today.","Noun","Old English"
"83","Pencil","An instrument for writing or drawing, consisting of a thin stick of graphite or a similar substance enclosed in a long thin piece of wood or fixed in a metal or plastic case","She sharpened her pencil.","Noun","Old French"
"84","Shelf","A flat length of wood or rigid material, attached to a wall or forming part of a piece of furniture, that provides a surface for the storage or display of objects","Place the book on the shelf.","Noun","Old English"
"85","Beach","A pebbly or sandy shore, especially by the sea between high- and low-water marks","We spent the day at the beach.","Noun","Old Norse"
"86","Cloud","A visible mass of condensed water vapor floating in the atmosphere, typically high above the ground","The sky is filled with clouds.","Noun","Old English"
"87","Stone","A small piece of rock found on the ground","I skipped a stone across the pond.","Noun","Old English"
"88","Paper","Material manufactured in thin sheets from the pulp of wood or other fibrous substances, used for writing, drawing, or printing on, or as wrapping material","I need a sheet of paper to write a note.","Noun","Latin"
"89","Table","A piece of furniture with a flat top and one or more legs, providing a level surface for eating, writing, or working at","The vase is on the table.","Noun","Old French"
"90","Flower","The seed-bearing part of a plant, consisting of reproductive organs (stamens and carpels) that are typically surrounded by a brightly colored corolla (petals) and a green calyx (sepals)","The flower smells lovely.","Noun","Old French"
"91","Bird","A warm-blooded egg-laying vertebrate distinguished by the possession of feathers, wings, and a beak and (typically) by being able to fly","The bird sang a sweet song.","Noun","Old English"
"92","Bug","A small insect","There's a bug on the wall.","Noun","Middle English"
"93","Grass","Vegetation consisting of typically short plants with long narrow leaves, growing wild or cultivated on lawns and pasture, and as a fodder crop","The grass is green and lush.","Noun","Old English"
"94","Snow","Atmospheric water vapor frozen into ice crystals and falling in light white flakes or lying on the ground as a white layer","The snow is falling heavily.","Noun","Old English"
"95","Rain","Moisture condensed from the atmosphere that falls visibly in separate drops","The rain poured all day.","Noun","Old English"
"96","Wind","The perceptible natural movement of the air, especially in the form of a current of air blowing from a particular direction","The wind blew the leaves around.","Noun","Old English"
"97","Storm","A violent disturbance of the atmosphere with strong winds and usually rain, thunder, lightning, or snow","The storm lasted for hours.","Noun","Old English"
"98","Thunder","The sound caused by the rapid expansion of air along an electrical strike","The thunder was loud and startling.","Noun","Old English"
"99","Lightning","The occurrence of a natural electrical discharge of very short duration and high voltage between a cloud and the ground or within a cloud, accompanied by a bright flash and typically also thunder","The lightning lit up the night sky.","Noun","Middle English"
