Index,Word,Part of Speech,Definition,Sentence
97,"Lethargic","adjective","affected by lethargy; sluggish and apathetic","I felt tired and a little lethargic."
98,"Mundane","adjective","lacking interest or excitement; dull","His mundane, humdrum existence."
99,"Narcissistic","adjective","having an excessive or erotic interest in oneself and one's physical appearance","He was so narcissistic he could pass a mirror without looking at his reflection."
100,"Obstinate","adjective","stubbornly refusing to change one's opinion or chosen course of action, despite attempts to persuade one to do so","Her obstinate determination to pursue a career in radio."
101,"Prolific","adjective","present in large numbers or quantities; plentiful","He was a prolific composer of operas."
102,"Quintuple","adjective","five times as much or as many","The quintuple Olympic champion."
103,"Replenish","verb","fill (something) up again","He replenished his glass from the bottle."
104,"Simultaneous","adjective","occurring, operating, or done at the same time","The simultaneous withdrawal of multiple medications."
105,"Translucent","adjective","allowing light, but not detailed shapes, to pass through; semitransparent","Translucent glass."
106,"Unprecedented","adjective","never done or known before","The government took the unprecedented step of releasing confidential correspondence."
107,"Vindictive","adjective","having or showing a strong or unreasoning desire for revenge","The criticism was both vindictive and personalized."
108,"Whistleblower","noun","a person who informs on a person or organization engaged in an illicit activity","The whistleblower was fired for exposing corruption in the company."
109,"Xenophobic","adjective","having or showing a dislike of or prejudice against people from other countries","His xenophobic attitudes were well known."
110,"Yield","verb","produce or provide (a natural, agricultural, or industrial product)","The land yields grapes and tobacco."
111,"Zealot","noun","a person who is fanatical and uncompromising in pursuit of their religious, political, or other ideals","He was a zealot, passionate about his beliefs."
112,"Abysmal","adjective","extremely bad; appalling","The quality of her work is abysmal."
113,"Bypass","verb","go past or around","Bypass the town and continue on the highway."
114,"Cynical","adjective","believing that people are motivated by self-interest; distrustful of human sincerity or integrity","He was brutally cynical and hardened to every sob story under the sun."
115,"Dwindle","verb","diminish gradually in size, amount, or strength","Traffic has dwindled to a trickle."
116,"Eccentric","adjective","(of a person or their behavior) unconventional and slightly strange","My favorite aunt is very eccentric."
117,"Flourish","verb","(of a person, animal, or other living organism) grow or develop in a healthy or vigorous way","Wild plants flourish along the banks of the river."
118,"Gluttony","noun","habitual greed or excess in eating","His gluttony led him to eat even when he wasn't hungry."
119,"Hyperbole","noun","exaggerated statements or claims not meant to be taken literally","She is prone to hyperbole, it's not the worst day ever."
120,"Incorporate","verb","take in or contain (something) as part of a whole; include","He has incorporated jazz into his music."
121,"Jostle","verb","push, elbow, or bump against (someone) roughly, typically in a crowd","Passengers arriving and departing jostle each other on the platform."
122,"Kilometer","noun","a metric unit of measurement equal to 1,000 meters (approximately 0.62 miles)","We drove about ten kilometers out into the country."
123,"Liaison","noun","communication or cooperation which facilitates a close working relationship between people or organizations","She acts as a liaison between patients and staff."
124,"Monotonous","adjective","dull, tedious, and repetitious; lacking in variety and interest","The monotonous drone of the engine put me to sleep."
125,"Niche","noun","a specialized segment of the market for a particular kind of product or service","She has carved out a niche for herself as a teacher."
126,"Obsolete","adjective","no longer produced or used; out of date","My old computer is now obsolete."
127,"Paradox","noun","a seemingly absurd or self-contradictory statement or proposition that when investigated or explained may prove to be well founded or true","In a paradox, he has discovered that stepping back from his job has increased the rewards he gleans from it."
128,"Quantum","noun","a discrete quantity of energy proportional in magnitude to the frequency of the radiation it represents","A quantum of energy."
129,"Recession","noun","a period of temporary economic decline during which trade and industrial activity are reduced","The economic recession of 2008 was a difficult time."
130,"Satire","noun","the use of humor, irony, exaggeration, or ridicule to expose and criticize people's stupidity or vices, particularly in the context of contemporary politics and other topical issues","The film was a biting satire about the music industry."
131,"Turbulent","adjective","characterized by conflict, disorder, or confusion; not controlled or calm","His turbulent emotions made him difficult to deal with."
132,"Unilateral","adjective","(of an action or decision) performed by or affecting only one person, group, or country involved in a particular situation, without the agreement of another or the others","The unilateral decision made by the government was unpopular."
133,"Vulnerable","adjective","susceptible to physical or emotional attack or harm","We were in a vulnerable position."
134,"Whimsical","adjective","playfully quaint or fanciful, especially in an appealing and amusing way","The whimsical charm of the show won over audiences."
135,"Xenon","noun","the chemical element of atomic number 54, a member of the noble gas series. It is obtained by distillation of liquid air and is used in some specialized electric lamps","The lamp was filled with xenon gas."
136,"Yacht","noun","a medium-sized sailboat equipped for cruising or racing","He has a summer job on a yacht."
137,"Zephyr","noun","a soft gentle breeze","The warm zephyr ruffled her hair gently."
138,"Avalanche","noun","a mass of snow, ice, and rocks falling rapidly down a mountainside","We heard the rumble of an avalanche."
139,"Biodiversity","noun","the variety of life in the world or in a particular habitat or ecosystem","The tropical rainforest has a rich biodiversity."
140,"Concise","adjective","giving a lot of information clearly and in a few words; brief but comprehensive","She gave a concise account of the country's history."
141,"Deteriorate","verb","become progressively worse","Relations between the countries had deteriorated sharply."
142,"Exquisite","adjective","extremely beautiful and, typically, delicate","Exquisite, finely made jewelry."
143,"Futile","adjective","incapable of producing any useful result; pointless","All attempts to talk to her were futile."
144,"Gargantuan","adjective","enormously large","He had a gargantuan appetite."
145,"Hermit","noun","a person living in solitude as a religious discipline","As a hermit, he lived alone in the mountains."
146,"Inferior","adjective","lower in rank, status, or quality","He always felt inferior to his brother."
147,"Jovial","adjective","cheerful and friendly","He was a jovial old man with a warm smile."
148,"Knead","verb","work (moistened flour or clay) into dough or paste with the hands","Knead the dough until it is smooth."
149,"Lethargic","adjective","affected by lethargy; sluggish and apathetic","After the meal, he felt lethargic and sleepy."
150,"Mimic","verb","imitate (someone or their actions or words), typically in order to entertain or ridicule","She mimicked his accent."
151,"Nauseate","verb","make (someone) feel sick; affect with nausea","The smell of oil nauseates me."
152,"Optimistic","adjective","hopeful and confident about the future","He remained optimistic despite all that had happened."
153,"Parasite","noun","an organism that lives in or on an organism of another species (its host) and benefits by deriving nutrients at the other's expense","Lice are common parasites that infest humans."
154,"Quarantine","noun","a state, period, or place of isolation in which people or animals that have arrived from elsewhere or been exposed to infectious or contagious disease are placed","He was put in quarantine due to the contagious disease."
155,"Rejoice","verb","feel or show great joy or delight","He rejoiced when his team won the game."
156,"Sacrifice","noun","an act of slaughtering an animal or person or surrendering a possession as an offering to God or to a divine or supernatural figure","Ancient cultures would often perform a sacrifice to their gods."
157,"Tantalize","verb","torment or tease (someone) with the sight or promise of something that is unobtainable","Such ambitious questions have long tantalized the world's best thinkers."
158,"Ubiquitous","adjective","present, appearing, or found everywhere","His ubiquitous influence was felt by all the family."
159,"Vengeance","noun","punishment inflicted or retribution exacted for an injury or wrong","He swore vengeance on his child's killer."
160,"Wharf","noun","a level quayside area to which a ship may be moored to load and unload","Goods were unloaded at the old wharf."
161,"Xylophone","noun","a musical instrument played by striking a row of wooden bars of graduated length with one or more small wooden or plastic mallets","The xylophone is a popular instrument in elementary music classes."
162,"Yelp","noun","a short sharp cry, especially of pain or alarm","I let out a yelp when I stubbed my toe."
163,"Zealous","adjective","having or showing zeal","The council was extremely zealous in the application of the regulations."
164,"Aggravate","verb","make (a problem, injury, or offense) worse or more serious","His exasperating behavior only aggravated my mood."
165,"Blunder","noun","a stupid or careless mistake","Artificial intelligence is not capable of human blunders."
166,"Chaos","noun","complete disorder and confusion","Snow caused chaos in the region."
167,"Deter","verb","discourage (someone) from doing something by instilling doubt or fear of the consequences","Only a health problem would deter him from seeking re-election."
168,"Eloquent","adjective","fluent or persuasive in speaking or writing","An eloquent speaker can be very persuasive."
169,"Flabbergast","verb","surprise (someone) greatly; astonish","This news has left me totally flabbergasted."
170,"Gourmet","noun","a connoisseur of good food; a person with a discerning palate","He is a gourmet, fond of fine foods."
171,"Hypocrite","noun","a person who indulges in hypocrisy","He's a hypocrite who criticizes others for not exercising and then never goes to the gym himself."
172,"Inefficient","adjective","not achieving maximum productivity; wasting or failing to make the best use of time or resources","Many businesses are inefficient."
173,"Juxtapose","verb","place or deal with close together for contrasting effect","Black-and-white photos of slums were starkly juxtaposed with color images."
174,"Kinetic","adjective","relating to or resulting from motion","He learned about kinetic energy in his physics class."
175,"Ludicrous","adjective","so foolish, unreasonable, or out of place as to be amusing; ridiculous","It's ludicrous that I have been fined."
176,"Mandatory","adjective","required by law or rules; compulsory","Wearing helmets became mandatory for motorcyclists."
177,"Nimbus","noun","a luminous cloud or a halo surrounding a supernatural being or a saint","A nimbus surrounded the angel."
178,"Optimum","adjective","most conducive to a favorable outcome; best","The optimum time to plant tomatoes is in early spring."
179,"Paradoxical","adjective","seemingly absurd or self-contradictory","By glorifying the acts of violence they achieve the paradoxical effect of making them trivial."
180,"Quintessential","adjective","representing the most perfect or typical example of a quality or class","He is the quintessential gentleman."
181,"Resilient","adjective","(of a person or animal) able to withstand or recover quickly from difficult conditions","She's a resilient girl who's overcome many obstacles."
182,"Scrumptious","adjective","(of food) extremely appetizing or delicious","The cake was absolutely scrumptious."
183,"Tyrannical","adjective","exercising power in a cruel or arbitrary way","The king was tyrannical and unjust."
184,"Uproarious","adjective","provoking loud laughter; very funny","The movie was uproarious and had the audience laughing the entire time."
185,"Voracious","adjective","wanting or devouring great quantities of food","He was a voracious reader."
186,"Whittle","verb","carve (wood) into an object by repeatedly cutting small slices from it","He whittled a walking stick from a branch."
187,"Xenophile","noun","an individual who is attracted to foreign peoples, cultures, or customs","As a xenophile, she loves traveling and learning about different cultures."
188,"Yodel","verb","practice a form of singing or calling marked by rapid alternation between the normal voice and falsetto","In the Swiss Alps, the locals yodel to communicate between mountains."
189,"Zeal","noun","great energy or enthusiasm in pursuit of a cause or an objective","His zeal for gospel work."
190,"Abstract","adjective","existing in thought or as an idea but not having a physical or concrete existence","Abstract concepts such as love and beauty."
191,"Bliss","noun","perfect happiness; great joy","She gave a sigh of bliss."
192,"Cryptic","adjective","having a meaning that is mysterious or obscure","He found his boss's instructions cryptic."
193,"Dapper","adjective","(typically of a man) neat and trim in dress, appearance, or bearing","He looked very dapper in his suit."
194,"Euphoria","noun","a feeling or state of intense excitement and happiness","The euphoria of winning the lottery."
195,"Forlorn","adjective","pitifully sad and abandoned or lonely","Forlorn and lost, she contemplated her future."
196,"Gruesome","adjective","causing repulsion or horror; grisly","The gruesome details of the murder."
197,"Herald","verb","be a sign that (something) is about to happen","The letter heralded a new era in his life."
198,"Inundate","verb","overwhelm (someone) with things or people to be dealt with","We've been inundated with complaints from listeners."
199,"Jeopardy","noun","danger of loss, harm, or failure","The whole peace process is in jeopardy."
200,"Kudos","noun","praise and recognition for an achievement","She received much kudos for her work."
201,"Lament","verb","express one's deep grief about","She lamented over the loss of her best friend."
202,"Misanthrope","noun","a person who dislikes humankind and avoids human society","A brilliant artist but a known misanthrope, he avoided public gatherings."
203,"Nefarious","adjective","wicked or criminal","The nefarious activities of the organized crime syndicates."
204,"Ostentatious","adjective","characterized by vulgar or pretentious display; designed to impress or attract notice","He was a man of ostentatious wealth."
205,"Pervasive","adjective","spreading widely throughout an area or a group of people","Ageism is pervasive and entrenched in our society."
206,"Quandary","noun","a state of perplexity or uncertainty over what to do in a difficult situation","She was in a quandary about whether to go or stay."
207,"Reverberate","verb","(of a loud noise) be repeated several times as an echo","Her deep booming laugh reverberated around the room."
208,"Sardonic","adjective","grimly mocking or cynical","He gave a sardonic smile."
209,"Temerity","noun","excessive confidence or boldness; audacity","No one had the temerity to question his conclusions."
210,"Unprecedented","adjective","never done or known before","The government took the unprecedented step of releasing confidential correspondence."
211,"Vex","verb","make (someone) feel annoyed, frustrated, or worried, especially with trivial matters","The memory of the conversation still vexed him."
212,"Wistful","adjective","having or showing a feeling of vague or regretful longing","He gave a wistful smile."
213,"Xenophobic","adjective","having or showing a dislike of or prejudice against people from other countries","The politician made xenophobic statements."
214,"Yearn","verb","have an intense feeling of longing for something, typically something that one has lost or been separated from","She yearned for a glimpse of him."
215,"Zephyr","noun","a soft gentle breeze","The zephyr from the ocean made the hot day bearable."
216,"Acrimony","noun","bitterness or ill feeling","The acrimony of the divorce proceedings surprised their friends."
217,"Blasphemy","noun","the act or offense of speaking sacrilegiously about God or sacred things","He was detained on charges of blasphemy."
218,"Cacophony","noun","a harsh discordant mixture of sounds","A cacophony of deafening alarm bells."
219,"Decadence","noun","moral or cultural decline as characterized by excessive indulgence in pleasure or luxury","The decadence of the late Roman Empire."
220,"Eccentric","adjective","(of a person or their behavior) unconventional and slightly strange","My eccentric aunt had a fascination with tropical birds."
221,"Flippant","adjective","not showing a serious or respectful attitude","A flippant remark about the accident offended her."
222,"Gregarious","adjective","fond of company; sociable","He was a popular and gregarious man."
223,"Harbinger","noun","a person or thing that announces or signals the approach of another","Witch hazels are the harbingers of spring."
224,"Inept","adjective","having or showing no skill; clumsy","The inept handling of the situation was criticized."
225,"Jovial","adjective","cheerful and friendly","She was in a jovial mood."
226,"Knave","noun","a dishonest or unscrupulous man","He is a knave who cannot be trusted."
227,"Loquacious","adjective","tending to talk a great deal; talkative","Never loquacious, she was now silent."
228,"Misnomer","noun","a wrong or inaccurate name or designation","'Koala bear' is a misnomer—it's not a bear at all."
229,"Nostalgia","noun","a sentimental longing or wistful affection for the past","She felt a wave of nostalgia at the sight of her old school."
230,"Obstinate","adjective","stubbornly refusing to change one's opinion or chosen course of action","She can be obstinate when she feels she's right."
231,"Pariah","noun","an outcast","In the wake of the scandal, she became a social pariah."
232,"Quixotic","adjective","exceedingly idealistic; unrealistic and impractical","It was a noble, if quixotic, quest."
233,"Reprobate","noun","an unprincipled person","He was a reprobate and a gambler."
234,"Sycophant","noun","a person who acts obsequiously toward someone important in order to gain advantage","The leader was surrounded by sycophants."
235,"Trepidation","noun","a feeling of fear or agitation about something that may happen","He sat in the waiting room, full of trepidation."
236,"Ubiquitous","adjective","present, appearing, or found everywhere","Coffee shops are ubiquitous in the city."
237,"Vacuous","adjective","having or showing a lack of thought or intelligence; mindless","He had a vacuous expression on his face."
238,"Whimsical","adjective","playfully quaint or fanciful, especially in an appealing and amusing way","She had a whimsical sense of humor."
239,"Xenogenesis","noun","the supposed generation of offspring completely and permanently different from the parent","The book discussed the possibility of xenogenesis."
240,"Yokel","noun","an uneducated and unsophisticated person from the countryside","He was portrayed as a yokel, out of his depth in the city."
241,"Zeitgeist","noun","the defining spirit or mood of a particular period of history as shown by the ideas and beliefs of the time","The zeitgeist of the early 21st century was marked by technology."
242,"Abhor","verb","regard with disgust and hatred","I abhor the taste of liver."
243,"Brevity","noun","concise and exact use of words in writing or speech","The staff appreciated the brevity of the meeting."
244,"Cordial","adjective","warm and friendly","We received a cordial welcome from the local residents."
245,"Disingenuous","adjective","not candid or sincere, typically by pretending that one knows less about something than one really does","Her innocent inquiry was rather disingenuous."
246,"Effervescent","adjective","vivacious and enthusiastic","She is well-known for her effervescent personality."
247,"Flabbergast","verb","surprise (someone) greatly; astonish","This news has left me totally flabbergasted."
248,"Garner","verb","gather or collect (something, especially information or approval)","The police struggled to garner sufficient evidence."
249,"Harrowing","adjective","acutely distressing","A harrowing film about racial injustice."
250,"Innocuous","adjective","not harmful or offensive","It was an innocuous question."
251,"Juxtapose","verb","place or deal with close together for contrasting effect","Black-and-white photos were juxtaposed with color images."
252,"Kleptomaniac","noun","a recurrent urge to steal, typically without regard for need or profit","The kleptomaniac often did not remember what she had taken."
253,"Ludicrous","adjective","so foolish, unreasonable, or out of place as to be amusing","A ludicrous idea that was quickly dismissed."
254,"Maverick","noun","an unorthodox or independent-minded person","The maverick politician is not afraid to break with convention."
255,"Narcissistic","adjective","having an excessive or erotic interest in oneself and one's physical appearance","The narcissistic actor always wants to be the center of attention."
256,"Obfuscate","verb","render obscure, unclear, or unintelligible","The spelling changes will deform some familiar words and obfuscate their etymology."
257,"Palpable","adjective","able to be touched or felt","The tension was almost palpable."
258,"Quintessential","adjective","representing the most perfect or typical example of a quality or class","She was the quintessential urban sophisticate."
259,"Rambunctious","adjective","uncontrollably exuberant; boisterous","Rambunctious puppies were wreaking havoc in the house."
260,"Sagacious","adjective","having or showing keen mental discernment and good judgment; wise or shrewd","The sagacious investor made a fortune in the stock market."
261,"Tautology","noun","the saying of the same thing twice in different words, generally considered to be a fault of style","Saying that something is 'added bonus' is a tautology."
262,"Unctuous","adjective","excessively or ingratiatingly flattering; oily","The unctuous salesperson seemed insincere."
263,"Vitriolic","adjective","filled with bitter criticism or malice","The newspaper launched a vitriolic attack on the president."
264,"Whet","verb","sharpen the blade of (a tool or weapon)","She whet her knife before preparing dinner."
265,"Xerography","noun","a dry photocopying process","The invention of xerography revolutionized the publishing industry."
266,"Yammer","verb","make a loud repetitive noise","He yammered on about his vacation."
267,"Zany","adjective","amusingly unconventional and idiosyncratic","She had a zany sense of humor."
268,"Amalgamate","verb","combine or unite to form one organization or structure","He amalgamated his company with another."
269,"Bucolic","adjective","relating to the pleasant aspects of the countryside and country life","The farmhouse had a lovely bucolic view."
270,"Circumspect","adjective","wary and unwilling to take risks","The reformers were circumspect in their criticism of the church."
271,"Dogmatic","adjective","inclined to lay down principles as incontrovertibly true","She has very dogmatic views on what is healthy."
272,"Extemporize","verb","compose, perform, or produce something such as music or a speech without preparation","He extemporized at the piano."
273,"Fathom","verb","understand (a difficult problem or an enigmatic person) after much thought","He couldn't fathom her motives."
274,"Garrulous","adjective","excessively talkative, especially on trivial matters","He was a garrulous and tiresome companion."
275,"Hubris","noun","excessive pride or self-confidence","The king was punished for his hubris."
276,"Incipient","adjective","in an initial stage; beginning to happen or develop","He could feel incipient anger building up."
277,"Jingoism","noun","extreme patriotism, especially in the form of aggressive or warlike foreign policy","The jingoism in the media was off-putting."
278,"Kismet","noun","destiny; fate","Finding that book at that moment seemed like kismet."
279,"Labyrinth","noun","a complicated irregular network of passages or paths in which it is difficult to find one's way","A labyrinth of little streets."
280,"Miscreant","noun","a person who behaves badly or in a way that breaks the law","The security guard caught the miscreant trying to vandalize the statue."
281,"Nebulous","adjective","in the form of a cloud or haze; hazy","A nebulous concept that was hard to explain."
282,"Obstinate","adjective","stubbornly refusing to change one's opinion or chosen course of action","She can be obstinate when she feels she's right."
283,"Pariah","noun","an outcast","In the wake of the scandal, she became a social pariah."
284,"Quixotic","adjective","exceedingly idealistic; unrealistic and impractical","It was a noble, if quixotic, quest."
285,"Reticent","adjective","not revealing one's thoughts or feelings readily","She was extremely reticent about her personal affairs."
286,"Surreptitious","adjective","kept secret, especially because it would not be approved of","They carried on a surreptitious affair."
287,"Taciturn","adjective","(of a person) reserved or uncommunicative in speech; saying little","After such gatherings she would be taciturn and morose."
288,"Ubiquitous","adjective","present, appearing, or found everywhere","Coffee shops are ubiquitous in the city."
289,"Vacuous","adjective","having or showing a lack of thought or intelligence; mindless","He had a vacuous expression on his face."
290,"Wistful","adjective","having or showing a feeling of vague or regretful longing","She gave a wistful smile."
291,"Xenophobia","noun","dislike of or prejudice against people from other countries","The increase in xenophobia was concerning."
