index,word,definition,sentence,part_of_speech,language_of_origin
18,"Sesquipedalian","Pertaining to a word with many syllables; or a person who uses long words","The professor was known for his sesquipedalian lectures.","Adjective","Latin"
19,"Triskaidekaphobia","Extreme superstition regarding the number thirteen","Some people have triskaidekaphobia and fear the number thirteen.","Noun","Greek"
20,"Unctuous","Excessively flattering or ingratiating; oily","His unctuous compliments were insincere.","Adjective","Latin"
21,"Vainglorious","Excessively proud of oneself or one's achievements","The vainglorious leader boasted of his achievements.","Adjective","Latin"
22,"Welterweight","A weight category in professional boxing, intermediate between lightweight and middleweight","He competed as a welterweight boxer.","Noun","English"
23,"Xenophobe","A person who has a fear of foreigners or strangers","The community was unwelcoming to xenophobes.","Noun","Greek"
24,"Yttrium","A chemical element with the symbol Y and atomic number 39","Yttrium is a chemical element.","Noun","Swedish"
25,"Zephyr","A gentle, mild breeze","The zephyr cooled them during the hot day.","Noun","Latin"
26,"Abscond","To leave hurriedly and secretly, typically to avoid detection or arrest","The thief tried to abscond with the jewels.","Verb","Latin"
27,"Brobdignagian","Gigantic; of immense size","The skyscraper was of Brobdignagian proportions.","Adjective","English"
28,"Connoisseur","An expert judge in matters of taste","He was a connoisseur of fine wines.","Noun","French"
29,"Demagogue","A political leader who seeks support by appealing to popular desires and prejudices rather than by using rational argument","The demagogue appealed to people's emotions.","Noun","Greek"
30,"Ephemeral","Lasting for a very short time","The beauty of the moment was ephemeral.","Adjective","Greek"
31,"Flabbergasted","Extremely surprised or shocked","She was flabbergasted by the surprise.","Adjective","English"
32,"Gobbledygook","Language that is meaningless or hard to understand; jargon","The document was filled with legal gobbledygook.","Noun","English"
33,"Hemidemisemiquaver","A musical note having the time value of a sixty-fourth of a whole note or half of a demisemiquaver","A hemidemisemiquaver is a musical note.","Noun","Latin"
34,"Indefatigable","Persisting tirelessly","The worker was indefatigable and never tired.","Adjective","Latin"
35,"Juxtaposition","The fact of two things being seen or placed close together with contrasting effect","The juxtaposition of the scenes was striking.","Noun","Latin"
36,"Kowtow","Act in an excessively subservient manner; or to kneel and touch the ground with the forehead in worship or submission as part of Chinese custom","The diplomat refused to kowtow to the demands.","Verb","Chinese"
37,"Lackadaisical","Lacking enthusiasm and determination; carelessly lazy","His lackadaisical approach was evident in his work.","Adjective","English"
38,"Munificent","More generous than is usual or necessary","The munificent donation helped many people.","Adjective","Latin"
39,"Nomenclature","The devising or choosing of names for things, especially in a science or other discipline","The nomenclature for the species was complex.","Noun","Latin"
40,"Onomatopoeia","The formation of a word from a sound associated with what is named","Buzz is an example of onomatopoeia.","Noun","Greek"
41,"Precipice","A very steep rock face or cliff, typically a tall one","The hiker stood on the edge of the precipice.","Noun","Latin"
42,"Quixotic","Exceedingly idealistic, unrealistic, and impractical","His dreams were quixotic and impractical.","Adjective","Spanish"
43,"Rambunctious","Uncontrollably exuberant; boisterous","The rambunctious kids ran around the park.","Adjective","English"
44,"Supercilious","Behaving or looking as though one thinks one is superior to others","Her supercilious demeanor was off-putting.","Adjective","Latin"
45,"Tautology","The saying of the same thing twice in different words, generally considered to be a fault of style","Free gift is an example of tautology.","Noun","Greek"
46,"Ubiquitous","Present, appearing, or found everywhere","Cell phones have become ubiquitous.","Adjective","Latin"
47,"Vivisepulture","The practice of burying someone alive","Tales of vivisepulture are found in horror stories.","Noun","Latin"
48,"Whippoorwill","A North American nightjar with a distinctive call","The whippoorwill's song echoed in the evening.","Noun","English"
49,"Xenophile","An individual who is attracted to foreign peoples, cultures, or customs","As a xenophile; she loved exploring other cultures.","Noun","Greek"
50,"Yesteryear","Last year or the recent past, especially as nostalgically recalled","The music brought memories of yesteryear.","Noun","English"
51,"Zeppelin","A type of large German airship","The zeppelin soared across the sky.","Noun","German"
52,"Affable","Friendly, good-natured, or easy to talk to","He had an affable personality and made friends easily.","Adjective","Latin"
53,"Boisterous","Noisy, energetic, and cheerful; rowdy","The boisterous crowd cheered at the game.","Adjective","Middle English"
54,"Contumacious","Stubbornly or willfully disobedient to authority","The contumacious teenager defied all authority.","Adjective","Latin"
55,"Deciduous","Shedding its leaves annually","Oak trees are deciduous and shed their leaves in autumn.","Adjective","Latin"
56,"Effervescent","Bubbly and enthusiastic or excited","She had an effervescent personality that lit up the room.","Adjective","Latin"
57,"Frivolous","Not having any serious purpose or value","The lawsuit was deemed frivolous by the judge.","Adjective","Latin"
58,"Gargantuan","Enormously large","The meal was of gargantuan proportions.","Adjective","French"
59,"Harangue","A lengthy and aggressive speech","The leader delivered a lengthy harangue to his followers.","Noun","Middle French"
60,"Ineffable","Too great or extreme to be expressed or described in words","The beauty of the place was ineffable.","Adjective","Latin"
61,"Jocund","Cheerful and light-hearted","The festival was a jocund occasion for all.","Adjective","Latin"
62,"Kleptomaniac","A person with a recurrent urge to steal, typically without economic motive","The kleptomaniac could not resist stealing trivial items.","Noun","Greek"
63,"Labyrinth","A complicated irregular network of passages or paths","The maze was like a labyrinth; with many twists and turns.","Noun","Latin"
64,"Malfeasance","Wrongdoing, especially by a public official","The official was charged with malfeasance in office.","Noun","French"
65,"Nebulous","Vague or ill-defined","His explanations were nebulous and unclear.","Adjective","Latin"
66,"Oscillation","Movement back and forth in a regular rhythm","The oscillation of the pendulum kept time.","Noun","Latin"
67,"Persnickety","Placing too much emphasis on trivial or minor details; fussy","She was persnickety about her food choices.","Adjective","English"
68,"Querulous","Complaining in a petulant or whining manner","The querulous child complained about everything.","Adjective","Latin"
69,"Resplendent","Shining brilliantly; gleaming","The ballroom was resplendent in gold and silver.","Adjective","Latin"
70,"Sycophant","A person who acts obsequiously toward someone in order to gain advantage","He was seen as a sycophant; always trying to please the boss.","Noun","Greek"
71,"Turpitude","Depravity; wickedness","Acts of moral turpitude could lead to expulsion.","Noun","Latin"
72,"Umbrage","Offense or annoyance","She took umbrage at the slightest criticism.","Noun","French"
73,"Vexation","The state of being annoyed, frustrated, or worried","The repeated delays were a source of vexation.","Noun","Latin"
74,"Winsome","Attractive or appealing in a fresh, innocent way","The child had a winsome smile that melted hearts.","Adjective","Old English"
75,"Xerophilous","Able to withstand dry conditions; drought-resistant","Cacti are xerophilous plants that thrive in dry climates.","Adjective","Greek"
76,"Yore","Of long ago or former times","In days of yore; knights would joust in tournaments.","Noun","Old English"
77,"Zeitgeist","The defining spirit or mood of a particular period of history","The film captured the zeitgeist of the 1960s.","Noun","German"
78,"Abrogate","Repeal or do away with a law, right, or formal agreement","The treaty was abrogated by mutual consent.","Verb","Latin"
79,"Bombastic","High-sounding but with little meaning; inflated","His speech was bombastic and lacked substance.","Adjective","Greek"
80,"Cynosure","A person or thing that is the center of attention or admiration","The celebrity was the cynosure of the event.","Noun","Greek"
81,"Disparate","Essentially different in kind; not allowing comparison","There were disparate opinions among the group members.","Adjective","Latin"
82,"Enervate","Cause (someone) to feel drained of energy or vitality; weaken","The heat seemed to enervate everyone at the picnic.","Verb","Latin"
83,"Flippant","Not showing a serious or respectful attitude","His flippant remark upset many people.","Adjective","English"
84,"Gustatory","Related to the sense of taste","The meal was a gustatory delight.","Adjective","Latin"
85,"Hypothetical","Of, based on, or serving as a hypothesis","It was a hypothetical scenario; not based on reality.","Adjective","Greek"
86,"Incognito","Having one's true identity concealed","The celebrity traveled incognito to avoid attention.","Adjective","Italian"
87,"Juxtapose","To place or deal with close together for contrasting effect","The artist liked to juxtapose contrasting colors.","Verb","Latin"
88,"Kinetic","Relating to or resulting from motion","Wind turbines convert kinetic energy to electricity.","Adjective","Greek"
89,"Lachrymose","Inducing tears; sad","The film was lachrymose and many viewers cried.","Adjective","Latin"
90,"Maelstrom","A powerful whirlpool in the sea or a river","The boat was caught in a maelstrom and struggled to escape.","Noun","Dutch"
91,"Nefarious","Wicked, villainous, or criminal","The villain's nefarious plan was foiled by the hero.","Adjective","Latin"
92,"Obsequious","Obedient or attentive to an excessive degree","The waiter was almost obsequious in his attentiveness.","Adjective","Latin"
93,"Penultimate","Last but one in a series of things; second to the last","The penultimate chapter of the book was the most thrilling.","Adjective","Latin"
94,"Quixotic","Exceedingly idealistic, unrealistic, and impractical","His quest was seen as quixotic and unrealistic.","Adjective","Spanish"
95,"Rhetoric","The art of effective or persuasive speaking or writing","Politicians are often skilled in the art of rhetoric.","Noun","Greek"
96,"Sardonic","Grimly mocking or cynical","His humor was dry and sardonic.","Adjective","French"
97,"Trepidation","A feeling of fear or anxiety about something that may happen","He felt trepidation before the big test.","Noun","Latin"
98,"Uxorious","Having or showing an excessive or submissive fondness for one's wife","The uxorious man did everything for his wife.","Adjective","Latin"
99,"Vicarious","Experienced in the imagination through the feelings or actions of another person","She lived a vicarious life through her favorite characters.","Adjective","Latin"
